Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CTRC,Chymotrypsin-C,51928,0.00897597046367791,0.00524620838210646,-0.00130659796525075,0.0192585388926066,0.0871046854373624
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CLSTN2,Calsyntenin-2,52231,0.00551361814390836,0.00322346593092639,-0.000804375080707367,0.0118316113685241,0.0871934763897498
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,GET3,ATPase GET3,48840,0.00735036500492085,0.0043087060748759,-0.00109469890183591,0.0157954289116776,0.0880358483493363
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,METAP2,Methionine aminopeptidase 2,52135,0.00769922242318492,0.00451530187076594,-0.00115076924351633,0.0165492140898862,0.0881814893885217
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PLTP,Phospholipid transfer protein,52184,0.00519806731180453,0.00305181077601671,-0.000783481809188219,0.0111796164327973,0.0885301408284151
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,IL31RA,Interleukin-31 receptor subunit alpha,48182,-0.00524608095166598,0.00308404832134845,-0.0112908156615089,0.000798653758176985,0.0889518767998884
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PLAU,Urokinase-type plasminogen activator,51969,0.00396597131887429,0.00233728128383218,-0.000615099997436789,0.00854704263518536,0.0897419346357668
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,VEGFC,Vascular endothelial growth factor C,52020,0.00769392678661684,0.00453857638811774,-0.00120168293409393,0.0165895365073276,0.090045260657979
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,MVK,Mevalonate kinase,51550,0.0112647730707814,0.0066566379022206,-0.00178223721757101,0.0243117833591338,0.0906096698952089
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,DBI,Acyl-CoA-binding protein,51860,0.0107086007887771,0.00633587232554357,-0.00170970896928833,0.0231269105468425,0.0910118707079798
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,BLVRB,Flavin reductase,51969,0.00904019057602571,0.00535137064930803,-0.00144849589661803,0.0195288770486694,0.0911709930677851
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CDK5RAP3,CDK5 regulatory subunit-associated protein 3,48801,0.00809742259622022,0.00480084471510557,-0.00131223304538669,0.0175070782378271,0.0916829920516774
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,DFFA,DNA fragmentation factor subunit alpha,52231,0.00914944105985202,0.00542673284192554,-0.00148695531032204,0.0197858374300261,0.0918100836443229
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,SPINT2,Kunitz-type protease inhibitor 2,52044,0.00538899585295792,0.0031978333027241,-0.000878757420381309,0.0116567491262971,0.0919628674634012
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,INHBC,Inhibin beta C chain,51969,-0.00540525977101595,0.00321244403388807,-0.0117016500774366,0.000891130535404665,0.092465823871307
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,WFIKKN2,"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2",51964,0.00447002840872386,0.00266219933433378,-0.00074788228657035,0.00968793910401808,0.0931510877028857
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,COL24A1,Collagen alpha-1(XXIV) chain,48778,0.00779494314162056,0.00464291653992956,-0.00130517327664137,0.0168950595598825,0.0931890935825442
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,MASP1,Mannan-binding lectin serine protease 1,51729,-0.00315119417950055,0.00187818461046653,-0.00683243601601496,0.000530047657013848,0.0934021516158997
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,LGMN,Legumain,52044,0.00492729108773847,0.00293684175541381,-0.000828918752872594,0.0106835009283495,0.0934089221765935
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,KLKB1,Plasma kallikrein,48451,-0.00332774719977662,0.00198556937386768,-0.00721946317255727,0.000563968773004041,0.0937605570890757
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,MPO,Myeloperoxidase,51969,0.00632072578481566,0.0037719061975932,-0.00107221036246702,0.0137136619320983,0.0938029404518421
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CRYZL1,Quinone oxidoreductase-like protein 1,48283,0.0122109676243498,0.00729028862433159,-0.00207799807934012,0.0264999333280397,0.093957271301526
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,ANXA11,Annexin A11,51892,0.00897880069372022,0.00536459237825946,-0.00153580036766832,0.0194934017551088,0.0941999797893787
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,ATF2,Cyclic AMP-dependent transcription factor ATF-2,51447,0.00914378134869718,0.00547011793847653,-0.00157764981071683,0.0198652125081112,0.0946193649318595
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,C1S,Complement C1s subcomponent,48866,-0.00285164442868354,0.00170873018420962,-0.00620075558973439,0.000497466732367318,0.0951590699738795
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,IMMT,MICOS complex subunit MIC60,48767,0.00605258711416041,0.00363064585459613,-0.00106347876084801,0.0131686529891688,0.0955134770962105
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,S100A16,Protein S100-A16,51405,0.00823841486520452,0.00494270530389959,-0.00144928753043868,0.0179261172608477,0.0955713868367187
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,IL10RA,Interleukin-10 receptor subunit alpha,51550,0.00768397722102485,0.00462505514891989,-0.00138113087085814,0.0167490853129078,0.0966506762010957
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,NID2,Nidogen-2,51969,0.0099444998360832,0.00598644680073558,-0.00178893589335855,0.0216779355655249,0.0966929242552804
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,NRXN3,Neurexin-3,48300,-0.00478011658858659,0.00287877367054357,-0.010422512982852,0.000862279805678811,0.0968359035728115
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PTPRC,Receptor-type tyrosine-protein phosphatase C,48854,0.00308344266857152,0.00185726140413302,-0.000556789683529192,0.00672367502067223,0.0968878329005678
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,MCAM,Cell surface glycoprotein MUC18,52074,0.00429643576794224,0.00258976889818741,-0.000779511272505085,0.00937238280838957,0.0971284383908734
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,IFIT1,Interferon-induced protein with tetratricopeptide repeats 1,48486,0.00683036602918439,0.00411791785834708,-0.00124075297317588,0.0149014850315447,0.0971932206934288
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,MB,Myoglobin,52250,0.00756003301107329,0.00455790481341637,-0.00137346042322279,0.0164935264453694,0.0971967612241336
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,VPS28,Vacuolar protein sorting-associated protein 28 homolog,48486,0.00889939679112504,0.00537396595000043,-0.00163357647087581,0.0194323700531259,0.0977334822830707
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CSNK2A1,Casein kinase II subunit alpha,48801,0.00596360510379769,0.00360393945023829,-0.00110011621866936,0.0130273264262647,0.0979915265193207
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,COL9A2,Collagen alpha-2(IX) chain,48486,0.00588400084092484,0.00355772320985491,-0.0010891366503908,0.0128571383322405,0.0981703320034083
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,NFYA,Nuclear transcription factor Y subunit alpha,48148,0.00544555253837727,0.00329752446911209,-0.00101759542108243,0.011908700497837,0.0986717107561021
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,NEDD9,Enhancer of filamentation 1,48252,0.00469486036568803,0.0028460515867545,-0.000883400744350795,0.0102731214757268,0.099039774199132
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,ANGPTL7,Angiopoietin-related protein 7,52163,0.00488026472477555,0.0029666920383799,-0.000934451670449047,0.0106949811200002,0.0999792348351049
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CD63,CD63 antigen,51721,0.00672445581636247,0.00409190934337822,-0.00129568649665883,0.0147445981293838,0.100323297176449
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,DNAJC21,DnaJ homolog subfamily C member 21,48794,0.00522916696701228,0.0031823928627733,-0.00100832304402339,0.0114666569780479,0.100366291604492
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,LAMA1,Laminin subunit alpha-1,48148,-0.00689416792001828,0.00419744960803475,-0.0151211691517664,0.00133283331172983,0.100509568370914
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,LYPD1,Ly6/PLAUR domain-containing protein 1,51447,0.0082446860307488,0.00502090912604625,-0.00159629585630185,0.0180856679177994,0.100589187228338
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,IL25,Interleukin-25,48059,-0.00454320626215639,0.00276686199456954,-0.00996625577151268,0.000879843247199899,0.100604750012783
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,IL1B,Interleukin-1 beta,51442,-0.00766583106744268,0.00467022021897528,-0.0168194626966342,0.00148780056174888,0.100722331537263
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,EDF1,Endothelial differentiation-related factor 1,48801,0.00903935086539313,0.00550753709753826,-0.00175542184578185,0.0198341235765681,0.100757119133325
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,FOXO1,Forkhead box protein O1,51933,0.0115002676050176,0.0070115658545234,-0.00224240146984825,0.0252429366798835,0.100980113833484
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CDC37,Hsp90 co-chaperone Cdc37,52020,0.0111533968696221,0.00681745217715435,-0.00220880939760046,0.0245156031368446,0.101851640018516
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,MNAT1,CDK-activating kinase assembly factor MAT1,48486,0.00592722076057083,0.00363111343176604,-0.00118976156569062,0.0130442030868323,0.102623188793889
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,IL18RAP,Interleukin-18 receptor accessory protein,51615,-0.0223933483133632,0.0137214160254127,-0.049287323723172,0.00450062709644563,0.102693207767728
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,ASGR1,Asialoglycoprotein receptor 1,51761,-0.0039632724396545,0.00243741078254899,-0.00874059757345052,0.000814052694141531,0.10395955034298
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CPXM1,Probable carboxypeptidase X1,52020,0.00916363921817884,0.00563672215511056,-0.00188433620583786,0.0202116146421955,0.104026189385607
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,TNFAIP8,Tumor necrosis factor alpha-induced protein 8,51550,0.00487601216601069,0.00300021614183349,-0.00100441147198294,0.0107564358040043,0.104129358543182
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CREBZF,CREB/ATF bZIP transcription factor,48131,0.00338714847222153,0.0020865153137381,-0.000702421542705142,0.00747671848714821,0.104530352159938
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,MAEA,E3 ubiquitin-protein transferase MAEA,51406,0.00508191380744939,0.00313124647410474,-0.0010553292817959,0.0112191568966947,0.104610000284104
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CASP10,Caspase-10,51447,0.00940614819769327,0.00580064726265768,-0.00196312043711577,0.0207754168325023,0.104909522122151
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,FSTL1,Follistatin-related protein 1,48283,0.00303009736248733,0.00186973811692368,-0.000634589346683092,0.00669478407165775,0.10511949733581
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,DYNC1H1,Cytoplasmic dynein 1 heavy chain 1,48767,0.00613441871413417,0.00378791185531735,-0.00128988852228783,0.0135587259505562,0.105361295820276
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PROC,Vitamin K-dependent protein C,52039,-0.00334624455740477,0.00207041924133095,-0.00740426627041344,0.000711777155603894,0.106061094068184
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,MZT1,Mitotic-spindle organizing protein 1,51406,0.00683264298599861,0.00423109726988683,-0.00146030766297958,0.0151255936349768,0.106354171451733
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,SAMD9L,Sterile alpha motif domain-containing protein 9-like,51933,0.00960473488353343,0.00595015772701797,-0.00205757426142179,0.0212670440284887,0.106497928154494
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,MRPL52,"39S ribosomal protein L52, mitochondrial",48087,0.00341880586257538,0.00212137485386982,-0.000739088851009472,0.00757670057616024,0.107065395536152
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,ARG1,Arginase-1,51797,0.00674411765608741,0.00418632434079859,-0.00146107805187782,0.0149493133640526,0.107195975752613
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,TAX1BP1,Tax1-binding protein 1,48794,0.00807476592972537,0.00501485945866235,-0.00175435860925284,0.0179038904687036,0.107376827962755
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,SEPTIN3,Neuronal-specific septin-3,48801,0.0101744933410196,0.00632321708662149,-0.00221901214875855,0.0225679988307977,0.107616855048495
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,MAPK9,Mitogen-activated protein kinase 9,51933,0.0056479346767167,0.00351032208894423,-0.00123229661761399,0.0125281659710474,0.107640682233495
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CXCL10,C-X-C motif chemokine 10,52044,0.00851322712259603,0.00529902715395657,-0.00187286609915885,0.0188993203443509,0.108163476771365
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,SNX9,Sorting nexin-9,51955,0.00881739820410265,0.00549213512704089,-0.0019471866448975,0.0195819830531028,0.108406331834902
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,HMBS,Porphobilinogen deaminase,52163,0.00529740780925027,0.00329993601668307,-0.00117046678344855,0.0117652824019491,0.108439832193829
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,EIF4E,Eukaryotic translation initiation factor 4E,48252,0.0116098722475004,0.00724642385359614,-0.00259311850554807,0.0258128630005488,0.109138080261567
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,SMTN,Smoothelin,48752,0.0120399288591482,0.00751676944878492,-0.00269293926047022,0.0267727969787667,0.109228243376876
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,TIE1,Tyrosine-protein kinase receptor Tie-1,52250,-0.00541052036259469,0.00337915985941669,-0.0120336736870514,0.00121263296186203,0.109358461616785
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CLUL1,Clusterin-like protein 1,51914,0.00584182604275034,0.0036496149490608,-0.00131141925740884,0.0129950713429095,0.109463767576403
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,F11,Coagulation factor XI,48578,-0.00400986912045114,0.00250625096980893,-0.00892212102127665,0.000902382780374363,0.109626118570899
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,MMP9,Matrix metalloproteinase-9,51935,0.00785115179845172,0.00490743622479637,-0.00176742320214916,0.0174697267990526,0.10964585566708
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PFDN2,Prefoldin subunit 2,51447,0.00711227137072558,0.00445153541614737,-0.00161273804492327,0.0158372807863744,0.110120925138775
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,IGFBP3,Insulin-like growth factor-binding protein 3,52074,-0.00414717940529443,0.00259650353746835,-0.0092363263387324,0.000941967528143535,0.110230820696804
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CILP,Cartilage intermediate layer protein 1,48854,0.0071198743799509,0.00445893564031541,-0.00161963947506729,0.0158593882349691,0.110333600464882
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,DPEP2,Dipeptidase 2,51847,-0.00386637403828307,0.00242278181078918,-0.00861502638742988,0.000882278310863728,0.110537936802709
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,TGFBR1,TGF-beta receptor type-1,48252,0.00288277876430309,0.00180784380468893,-0.000660595092887212,0.00642615262149339,0.110818903400063
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CDHR1,Cadherin-related family member 1,51447,0.00546872794737225,0.00343135772706143,-0.00125673319766815,0.0121941890924126,0.111005770869931
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,DNM3,Dynamin-3,48801,0.0070990773749139,0.00445654723440674,-0.00163575520452331,0.0158339099543511,0.111186023951201
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,DNAJA4,DnaJ homolog subfamily A member 4,48794,0.00910359826376236,0.00571555621334491,-0.00209889191439367,0.0203060884419184,0.111226200355261
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CALCB,Calcitonin gene-related peptide 2,48794,0.00513171950365696,0.00322285507319124,-0.00118507643979786,0.0114485154471118,0.111335238457502
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CLEC12A,C-type lectin domain family 12 member A,48252,0.00258828478882659,0.00162775523497835,-0.000602115471730976,0.00577868504938416,0.111829571382524
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CRACR2A,EF-hand calcium-binding domain-containing protein 4B,51406,0.010944308521325,0.00689812997184127,-0.00257602622348393,0.0244646432661339,0.112625821015322
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PKD1,Polycystin-1,48840,0.00343022801206136,0.0021623142068738,-0.000807907833411284,0.007668363857534,0.112671272314583
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,ENTPD2,Ectonucleoside triphosphate diphosphohydrolase 2,51406,-0.00561727025858344,0.00354853587077916,-0.0125724005653106,0.00133786004814371,0.113439314661368
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,DDX58,Antiviral innate immune response receptor RIG-I,51406,0.00746928637932504,0.0047195911700728,-0.00178111231401764,0.0167196850726677,0.113523563304276
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,SORT1,Sortilin,51924,0.00491303220228666,0.0031053430339991,-0.00117344014435158,0.0109995045489249,0.113635231820397
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CSF2,Granulocyte-macrophage colony-stimulating factor,48148,0.00470781109201486,0.00297577708836673,-0.00112471200118393,0.0105403341852137,0.113655642607038
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,MKI67,Proliferation marker protein Ki-67,48252,0.00521306572273597,0.00329610231237271,-0.00124729480951455,0.0116734262549865,0.113760450853807
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,MITD1,MIT domain-containing protein 1,51761,0.0124531375237715,0.00788169530067189,-0.00299498526554545,0.0279012603130884,0.114118809306719
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,IKZF2,Zinc finger protein Helios,51406,-0.0113628089036607,0.00719299600244686,-0.0254610810684565,0.00273546326113515,0.11418839909029
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PLSCR3,Phospholipid scramblase 3,48749,0.00739375313664912,0.0046809416975149,-0.00178089259048008,0.0165683988637783,0.114227041287418
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,QDPR,Dihydropteridine reductase,51838,0.0054087850634737,0.0034264295118962,-0.00130701677984286,0.0121245869067903,0.114453273359495
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CTRB1,Chymotrypsinogen B,51969,0.00742059050752911,0.0047026181924356,-0.00179654114964468,0.0166377221647029,0.114586033386252
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,ITGBL1,Integrin beta-like protein 1,48854,0.00492903441566929,0.00312539322011938,-0.00119673629576469,0.0110548051271033,0.114789844757379
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CDH17,Cadherin-17,51955,0.00878134058535826,0.00556839237058546,-0.00213270846098924,0.0196953896317058,0.114809655009491
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,TPR,Nucleoprotein TPR,48148,0.00656682516371358,0.0041649524929268,-0.00159648172242296,0.0147301320498501,0.114883815985295
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,ICAM4,Intercellular adhesion molecule 4,51933,-0.00672227779385207,0.00426380586395679,-0.0150793372872074,0.00163478169950325,0.114903230277824
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,APOA2,Apolipoprotein A-II,48865,0.00629023539904544,0.0039913825716999,-0.00153287444148635,0.0141133452395772,0.115052010338779
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,NUB1,NEDD8 ultimate buster 1,51933,0.0107648477846096,0.00683742907596961,-0.00263651320429088,0.02416620877351,0.115408580414181
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PPM1F,Protein phosphatase 1F,48840,0.00681728309423286,0.00433260147700561,-0.00167461580069812,0.0153091819891638,0.115622207324206
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,KIR2DL2,Killer cell immunoglobulin-like receptor 2DL2,48767,0.0112542939263834,0.00716055101754428,-0.00278038606800339,0.0252889739207702,0.116034018799182
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,GPR158,Probable G-protein coupled receptor 158,48801,-0.00432482426203236,0.00275422824833909,-0.00972311162877698,0.00107346310471227,0.116372846673274
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PCBP2,Poly(rC)-binding protein 2,48801,0.00920758570250279,0.00586445800694639,-0.00228675199111213,0.0207019233961177,0.116415436262922
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,C7orf50,Uncharacterized protein C7orf50,48794,0.00304960368094627,0.00194269370457518,-0.000758075980021091,0.00685728334191363,0.11648173509255
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,RARRES2,Retinoic acid receptor responder protein 2,52108,-0.0062264248868894,0.00397202212391227,-0.0140115882497575,0.00155873847597866,0.116994850201292
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,NEDD4L,E3 ubiquitin-protein ligase NEDD4-like,48252,0.00609747030049189,0.00389191605255554,-0.00153068516251697,0.0137256257635008,0.117200605914058
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,AHCY,Adenosylhomocysteinase,51955,0.00856752711318604,0.00546875171082536,-0.00215122624003167,0.0192862804664038,0.117214038607348
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,EGFR,Epidermal growth factor receptor,52250,-0.00204118491169375,0.00130316664067564,-0.00459539152741802,0.000513021704030509,0.117285495192201
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,ABHD14B,Protein ABHD14B,51691,0.00716160284211122,0.00457273349695373,-0.00180095481191809,0.0161241604961405,0.117326374962493
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,TFPI,Tissue factor pathway inhibitor,51924,-0.00392315076373392,0.00250760935884209,-0.00883806510706442,0.000991763579596566,0.117714141218593
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,SERPING1,Plasma protease C1 inhibitor,48833,-0.00233610881535783,0.00149344100444071,-0.00526325318406162,0.000591035553345961,0.117775494951293
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CRKL,Crk-like protein,51965,0.0133501601184455,0.00853910182911479,-0.00338647946661952,0.0300867997035105,0.117968550918373
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,TFF1,Trefoil factor 1,51857,0.0101104969265423,0.00647180262434071,-0.00257423621716548,0.0227952300702501,0.118245503765643
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,SLAMF8,SLAM family member 8,51406,0.00682370320238538,0.00437069603903446,-0.00174286103412216,0.0153902674388929,0.118481132964726
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,AXL,Tyrosine-protein kinase receptor UFO,52074,0.00343146826946579,0.00220534352979172,-0.000891005048925987,0.00775394158785756,0.119726561908523
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PAFAH2,"Platelet-activating factor acetylhydrolase 2, cytoplasmic",48486,0.00623346139222959,0.00400706821353052,-0.00162039230629024,0.0140873150907494,0.119815228521597
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,SERPINE1,Plasminogen activator inhibitor 1,52250,0.00843150748050617,0.00542019181028752,-0.00219206846765737,0.0190550834286697,0.119822892822636
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,MICALL2,MICAL-like protein 2,48300,0.0086769175387576,0.00557807908625,-0.00225611747029239,0.0196099525478076,0.119833903924453
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,FMNL1,Formin-like protein 1,51447,0.00836679127246593,0.00538219961740404,-0.00218231997764598,0.0189159025225778,0.120071875379749
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,HARS1,"Histidine--tRNA ligase, cytoplasmic",51969,0.00970098017103718,0.00624112278117036,-0.00253162048005674,0.0219335808221311,0.120111019564114
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CNTN3,Contactin-3,51969,-0.00359525048120354,0.00231390488021157,-0.00813050404641821,0.000940003084011138,0.120255460839145
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,TRPV3,Transient receptor potential cation channel subfamily V member 3,48148,-0.00626780740655746,0.00404879908382353,-0.0142034536108516,0.00166783879773666,0.121622642597407
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CPA2,Carboxypeptidase A2,52100,-0.00841587276765318,0.0054372797796021,-0.0190729411356733,0.00224119560036694,0.121681657908941
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,RCC1,Regulator of chromosome condensation,48767,0.0064164952875975,0.00415347070028304,-0.00172430728495725,0.0145572978601522,0.122397886783444
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,TCOF1,Treacle protein,48840,0.00410050272501234,0.00265501952723651,-0.00110333554837123,0.00930434099839591,0.122498835718991
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CERT,Ceramide transfer protein,51447,0.0076871541966284,0.00498067026482586,-0.0020749595224303,0.0174492679156871,0.122748201958352
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CD7,T-cell antigen CD7,48219,0.00549350351146293,0.003574452118243,-0.00151242264029335,0.0124994296632192,0.124338855846084
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,SPINK5,Serine protease inhibitor Kazal-type 5,51969,0.00438122346984108,0.00285209489689273,-0.00120888252806866,0.00997132946775083,0.124517034496294
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,CYB5R2,NADH-cytochrome b5 reductase 2,48567,0.00698399000236951,0.00454742773672441,-0.00192896836161034,0.0158969483663493,0.124600560886525
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,APBB1IP,Amyloid beta A4 precursor protein-binding family B member 1-interacting protein,51847,0.00581630047085491,0.0037874630676606,-0.00160712714175986,0.0132397280834697,0.124632488036549
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PTK7,Inactive tyrosine-protein kinase 7,51447,0.00469989970315278,0.00306145345716196,-0.00130054907288467,0.0107003484791902,0.124752056306116
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PLA2G1B,Phospholipase A2,52216,0.0054547333428449,0.00355374227205994,-0.00151060151039258,0.0124200681960824,0.124815268764698
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,AKT1S1,Proline-rich AKT1 substrate 1,51447,0.00820396018871454,0.00534486371766731,-0.00227197269791338,0.0186798930753425,0.124816317355966
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,SMOC1,SPARC-related modular calcium-binding protein 1,52163,-0.00403871313749114,0.00263216652860781,-0.00919775953356245,0.00112033325858018,0.12495247384168
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,KRT8,"Keratin, type II cytoskeletal 8",48195,0.00997150457051808,0.00650258674734306,-0.00277356545427432,0.0227165745953105,0.125176885817793
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,PSAP,Prosaposin,48669,0.00349255287538605,0.00227808195016575,-0.000972487746938814,0.00795759349771091,0.125264229761766
Working and living environment,X24004.Nitrogen oxides air pollution; 2010,LBP,Lipopolysaccharide-binding protein,52074,-0.00730380347147119,0.0047652173209729,-0.0166436294205781,0.0020360224776357,0.125355253512962
